method,stress,max_h,h,iou,boundary_f,jf,ops,vanish,hallucination,split,mce,uncertainty,confidence,uec,ece_iou50,n_rows,n_samples
copy_last,occlusion,5,4,0.3435432481095467,0.529094740496828,0.4363189943031874,0.870544625035643,0.0461933276304533,0.0065583119475335,0.7986883376104933,0.0,0.0,1.0,,0.7838608622550964,3507,3507
copy_last,occlusion,5,5,0.3155510713842176,0.4810681089213481,0.3983095901527829,0.8445965212432278,0.0567436555460507,0.0079840319361277,0.7986883376104933,0.0,0.0,1.0,,0.8252067565917969,3507,3507
flow_warp,blur,5,all,0.6005990841369363,0.7365512521868002,0.6685751681618681,0.925235243798118,0.0298830909609352,0.0051325919589392,0.5372683205018535,0.0015987488462339,0.0,1.0,,0.3141716718673706,17535,3507
flow_warp,blur,5,1,0.768973898020248,0.9266194963079672,0.8477966971641077,0.9731964642144284,0.0099800399201596,0.0022811519817507,0.4913031080695751,0.0015987488462339,0.0,1.0,,0.1140576004981994,3507,3507
flow_warp,blur,5,2,0.6604136128534848,0.8227086922883455,0.7415611525709151,0.9463929284288566,0.0193897918448816,0.003706871970345,0.5078414599372684,0.0015987488462339,0.0,1.0,,0.2107214331626892,3507,3507
flow_warp,blur,5,3,0.5815260002343277,0.7239381122415827,0.6527320562379553,0.9241516966067864,0.0268035357855717,0.0051325919589392,0.5315084117479327,0.0015987488462339,0.0,1.0,,0.3216424584388733,3507,3507
flow_warp,blur,5,4,0.5208104244104039,0.6395526350286446,0.5801815297195243,0.9021956087824352,0.0399201596806387,0.0065583119475335,0.564870259481038,0.0015987488462339,0.0,1.0,,0.422868549823761,3507,3507
flow_warp,blur,5,5,0.4712714851662171,0.5699373250674603,0.5206044051168388,0.8802395209580839,0.0533219275734245,0.0079840319361277,0.590818363273453,0.0015987488462339,0.0,1.0,,0.5015683174133301,3507,3507
flow_warp,clean,5,all,0.6005106884085635,0.7360774618296548,0.6682940751191091,0.9255774165953806,0.0301112061591103,0.0051325919589392,0.5376675220986599,0.0015904295542703,0.0,1.0,,0.3141716718673706,17535,3507
flow_warp,clean,5,1,0.7687798102984172,0.9263587685713534,0.8475692894348853,0.9731964642144284,0.0105503279155973,0.0022811519817507,0.4893071000855432,0.0015904295542703,0.0,1.0,,0.1149130463600158,3507,3507
flow_warp,clean,5,2,0.660345481690713,0.8221840838444286,0.7412647827675708,0.9472483604220132,0.0199600798403193,0.003706871970345,0.5064157399486741,0.0015904295542703,0.0,1.0,,0.2095808386802673,3507,3507
flow_warp,clean,5,3,0.5814202710589168,0.7231362702506057,0.6522782706547612,0.9241516966067864,0.0265183917878528,0.0051325919589392,0.5332192757342458,0.0015904295542703,0.0,1.0,,0.3210721611976623,3507,3507
flow_warp,clean,5,4,0.5208298572462335,0.6391902469032341,0.5800100520747338,0.9016253207869974,0.0407755916737952,0.0065583119475335,0.564870259481038,0.0015904295542703,0.0,1.0,,0.4237239956855774,3507,3507
flow_warp,clean,5,5,0.4711780217485363,0.5695179395786522,0.5203479806635942,0.8816652409466781,0.0527516395779868,0.0079840319361277,0.5945252352437981,0.0015904295542703,0.0,1.0,,0.5015683174133301,3507,3507
flow_warp,frame_drop,5,all,0.4984089395449799,0.5990095409110625,0.5487092402280211,0.8663815226689479,0.0659252922725976,0.0046763615625891,0.5683490162532079,0.0029225601584572,0.0,1.0,,0.4561163187026977,17535,3507
flow_warp,frame_drop,5,1,0.6814544821453908,0.8423008352046756,0.7618776586750332,0.9446820644425434,0.0165383518676931,0.0022811519817507,0.4998574280011406,0.0029225601584572,0.0,1.0,,0.1802110075950622,3507,3507
flow_warp,frame_drop,5,2,0.5575025030293962,0.6807543210168827,0.6191284120231395,0.8987738808098089,0.0390647276874821,0.0034217279726261,0.5312232677502139,0.0029225601584572,0.0,1.0,,0.3632734417915344,3507,3507
flow_warp,frame_drop,5,3,0.4741645856512046,0.5634140096416933,0.518789297646449,0.8651268890789849,0.0684345594525235,0.0048474479612204,0.5697177074422584,0.0029225601584572,0.0,1.0,,0.493299126625061,3507,3507
flow_warp,frame_drop,5,4,0.4130799040026894,0.4832173865867534,0.4481486452947213,0.8280581693755347,0.0903906472768748,0.0059880239520958,0.6016538351867693,0.0029225601584572,0.0,1.0,,0.5845451951026917,3507,3507
flow_warp,frame_drop,5,5,0.3658432228962183,0.4253611521053075,0.3956021875007629,0.7952666096378671,0.1151981750784146,0.0068434559452523,0.6392928428856572,0.0029225601584572,0.0,1.0,,0.6592528820037842,3507,3507
