method,stress,max_h,iou,boundary_f,jf,ops,vanish,hallucination,split,mce,uncertainty,uec,ece_iou50,n_samples
convlstm,blur,5,0.6356391898955182,0.6904923553779174,0.6630657726367178,0.9530082691759338,0.0274308525805531,0.0023952095808383,0.275734245794126,0.0029698178666706,0.0,,0.2326681853938313,3507
convlstm,clean,5,0.6352146203786231,0.6901424226649653,0.6626785215217942,0.9528942115768464,0.0275449101796407,0.0023952095808383,0.2751639577986883,0.0029405200879078,0.0,,0.2335958450990148,3507
convlstm,frame_drop,5,0.6232815370052729,0.6724220921697255,0.6478518145874992,0.950499001996008,0.0296549757627601,0.0022811519817507,0.2834331337325349,0.0035309841452998,0.0,,0.2504568141581565,3507
convlstm,occlusion,5,0.612083437542337,0.6541736112560755,0.6331285243992062,0.94856002281152,0.0278870829769033,0.0020530367835757,0.2676361562589107,0.0030312480824234,0.0,,0.2534174455038189,3507
copy_last,blur,5,0.5646566328699503,0.6887519516166893,0.6267042922433199,0.9219846022241232,0.0334188765326489,0.0051325919589392,0.4781864841745081,0.0,0.0,,0.3661819100379944,3507
copy_last,clean,5,0.5646566328699503,0.6887519516166893,0.6267042922433199,0.9219846022241232,0.0334188765326489,0.0051325919589392,0.4781864841745081,0.0,0.0,,0.3661819100379944,3507
copy_last,frame_drop,5,0.5646566328699503,0.6887519516166893,0.6267042922433199,0.9219846022241232,0.0334188765326489,0.0051325919589392,0.4781864841745081,0.0,0.0,,0.3661819100379944,3507
copy_last,occlusion,5,0.3964038965838373,0.6126716618140786,0.504537779198958,0.8986598232107215,0.037125748502994,0.0050755631593954,0.7986883376104933,0.0,0.0,,0.6620473265647888,3507
flow_warp,blur,5,0.6005990841369363,0.7365512521868002,0.6685751681618681,0.925235243798118,0.0298830909609352,0.0051325919589392,0.5372683205018535,0.0015987488462339,0.0,,0.3141716718673706,3507
flow_warp,clean,5,0.6005106884085635,0.7360774618296548,0.6682940751191091,0.9255774165953806,0.0301112061591103,0.0051325919589392,0.5376675220986599,0.0015904295542703,0.0,,0.3141716718673706,3507
flow_warp,frame_drop,5,0.4984089395449799,0.5990095409110625,0.5487092402280211,0.8663815226689479,0.0659252922725976,0.0046763615625891,0.5683490162532079,0.0029225601584572,0.0,,0.4561163187026977,3507
flow_warp,occlusion,5,0.4156682828359247,0.648408729068013,0.5320385059519688,0.9073852295409182,0.0304533789563729,0.0050185343598517,0.8260621613915027,0.0019245948228192,0.0,,0.6139150261878967,3507
linear_centroid,blur,5,0.593941043518728,0.7243995905004732,0.6591703170096006,0.923239235814086,0.0313658397490732,0.0051325919589392,0.4771029369831765,0.000276207577197,0.0,,0.3154833316802978,3507
linear_centroid,clean,5,0.593941043518728,0.7243995905004732,0.6591703170096006,0.923239235814086,0.0313658397490732,0.0051325919589392,0.4771029369831765,0.000276207577197,0.0,,0.3154833316802978,3507
linear_centroid,frame_drop,5,0.4995651581315946,0.5979098656510791,0.5487375118913369,0.8689478186484174,0.0643284858853721,0.0051325919589392,0.4745366410037068,0.0008509625388519,0.0,,0.4631879329681396,3507
linear_centroid,occlusion,5,0.3960747850652786,0.6118196862381095,0.503947235651694,0.8934702024522384,0.0434559452523524,0.0050755631593954,0.7976618192187055,0.0007845566680515,0.0,,0.6552609205245972,3507
safeobj_det,blur,5,0.361378651590665,0.2917906426167567,0.3265846471037108,0.8484744796122041,0.0646706586826347,0.0051325919589392,0.1201596806387225,0.0039015629315175,0.0,,0.674446377021348,3507
safeobj_det,clean,5,0.3612669632087897,0.2913056774601159,0.3262863203344527,0.8490447676076418,0.0643855146849158,0.0051325919589392,0.1178785286569717,0.0039096493535706,0.0,,0.6752355571312547,3507
safeobj_det,frame_drop,5,0.3616993568454007,0.2920909833063453,0.326895170075873,0.848018249215854,0.0655260906757912,0.0051325919589392,0.1218135158254918,0.0040835349628544,0.0,,0.6709687106997532,3507
safeobj_det,occlusion,5,0.3555453351648059,0.2933876488182331,0.3244664919915195,0.8445965212432278,0.0672939834616481,0.0050185343598517,0.1235814086113487,0.0040732435010743,0.0,,0.6905242793506321,3507
safeobj_full,blur,5,0.3461822230916211,0.2717380111068625,0.3089601170992418,0.8643284858853721,0.04009124607927,0.0050185343598517,0.0861134873110921,0.0085862728140119,0.0004011772641649,-0.3297208856277835,0.7359433117434956,3507
safeobj_full,clean,5,0.3469508640593167,0.2716097480416303,0.3092803060504734,0.8658682634730539,0.0392358140861134,0.0049615055603079,0.0864556601083547,0.008543687958663,0.0003998097931231,-0.3185707322202739,0.7355010426279007,3507
safeobj_full,frame_drop,5,0.3441239856077081,0.2691334441676953,0.3066287148877017,0.8632449386940405,0.0412888508696891,0.0050185343598517,0.0852010265183917,0.0085522863644162,0.0004002789668293,-0.3147519632337924,0.7394473447669154,3507
safeobj_full,occlusion,5,0.3375236217107557,0.2694799629751734,0.3035017923429645,0.8512118619903051,0.0436840604505275,0.0050185343598517,0.0897633304818933,0.0086332470913784,0.0003777411792917,-0.3532995698825079,0.742415459855588,3507
safeobj_no_geom,blur,5,0.1484862527750361,0.1069320023450699,0.127709127560053,0.4869118905047049,0.3691474194468206,0.0051325919589392,0.0852580553179355,0.0015005283641986,5.547833000283125e-06,-0.3952293364605081,0.8861083542039532,3507
safeobj_no_geom,clean,5,0.1487819545709882,0.1073840231250788,0.1280829888480335,0.4875962360992301,0.3665240946678072,0.0051325919589392,0.0849729113202167,0.0014987712864702,5.622482072837892e-06,-0.3970516473334901,0.8857334353320783,3507
safeobj_no_geom,frame_drop,5,0.1484711256549743,0.1071845700924353,0.1278278478737048,0.4867408041060735,0.3664100370687197,0.0051325919589392,0.0845166809238665,0.0015104394942472,5.624098867463735e-06,-0.3947413960941929,0.885763006510135,3507
safeobj_no_geom,occlusion,5,0.1383537283252107,0.100014238526593,0.1191839834259018,0.4591958939264328,0.4107784431137724,0.0051325919589392,0.0808098089535215,0.0014100468814345,4.6540213013216175e-06,-0.3550709136146632,0.8919680986881664,3507
safeobj_no_stress,blur,5,0.3572472513024505,0.2839169690128146,0.3205821101576325,0.8619332763045338,0.0602224123182207,0.0050185343598517,0.1141716566866267,0.0081166598952957,0.0003889264184949,-0.3014537838237061,0.7113258649999,3507
safeobj_no_stress,clean,5,0.3565611885430818,0.283661097324109,0.3201111429335955,0.8622754491017964,0.0597091531223267,0.0050185343598517,0.1162817222697462,0.0080993614488367,0.000388558296296,-0.2977346184574984,0.7138226931680461,3507
safeobj_no_stress,frame_drop,5,0.3532623085972208,0.2808130492250559,0.3170376789111384,0.8594240091246079,0.0617621899059024,0.0049615055603079,0.117308240661534,0.0082168917820919,0.0003886612798543,-0.294319054983421,0.7192877990756921,3507
safeobj_no_stress,occlusion,5,0.3259225511110674,0.2712430673384021,0.2985828092247348,0.8380952380952381,0.0699743370402053,0.0050185343598517,0.115084117479327,0.0076446996376097,0.000319655108,-0.3345819184470054,0.7671864037470223,3507
