epoch,train_loss,val_loss,seconds,method,max_h
1,0.7207288929555613,0.512156322132796,135.95126175880432,safeobjworld_r_no_temporal,10
2,0.6169706883720482,0.4930401402525604,150.26731872558594,safeobjworld_r_no_temporal,10
3,0.596230967986144,0.49076486425474286,154.31408643722534,safeobjworld_r_no_temporal,10
4,0.581932817891255,0.4783770926296711,154.03775238990784,safeobjworld_r_no_temporal,10
5,0.5730752304330067,0.48006158182397485,150.72119283676147,safeobjworld_r_no_temporal,10
6,0.5646694409526357,0.48082295060157776,157.02443981170654,safeobjworld_r_no_temporal,10
7,0.5580977383306471,0.4775452958419919,149.71866726875305,safeobjworld_r_no_temporal,10
8,0.5516421506376352,0.48282077349722385,154.26024746894836,safeobjworld_r_no_temporal,10
9,0.5468463046125258,0.4788131364621222,148.5413703918457,safeobjworld_r_no_temporal,10
10,0.5425834960321843,0.47046945337206125,150.91903233528137,safeobjworld_r_no_temporal,10
