epoch,train_loss,val_loss,seconds,method,max_h
1,0.7205892048947,0.5118849673308432,133.3482527732849,safeobjworld_r_no_area,10
2,0.6180260532933954,0.499103173147887,152.99765133857727,safeobjworld_r_no_area,10
3,0.5978520419281478,0.49437541980296373,153.20834398269653,safeobjworld_r_no_area,10
4,0.5834118007781617,0.47904011560603976,147.34166383743286,safeobjworld_r_no_area,10
5,0.5740105503518227,0.48382331524044275,152.12532091140747,safeobjworld_r_no_area,10
6,0.5660678167286091,0.4783816752023995,153.6451301574707,safeobjworld_r_no_area,10
7,0.5590928887441413,0.47788416570983827,149.85774517059326,safeobjworld_r_no_area,10
8,0.5526558272800559,0.4855634067207575,150.15923833847046,safeobjworld_r_no_area,10
9,0.5473660503700747,0.4768371721729636,151.90591382980347,safeobjworld_r_no_area,10
10,0.5433315884021082,0.4712634296156466,156.63954854011536,safeobjworld_r_no_area,10
