epoch,train_loss,val_loss,seconds,method,max_h
1,0.5554930809645143,0.39188422565348446,120.71542501449585,convlstm,5
2,0.4640023473711962,0.3726319819688797,129.8629171848297,convlstm,5
3,0.4445057356280736,0.36057550739496946,126.24912285804749,convlstm,5
4,0.43238296343312077,0.3573371234815568,129.15370202064514,convlstm,5
5,0.4239022816166035,0.35934047191403806,130.5508041381836,convlstm,5
6,0.4169053788919475,0.35739670670591295,128.9102520942688,convlstm,5
7,0.41097741058134024,0.3544115556869656,126.72617530822754,convlstm,5
8,0.4047468553398415,0.35735039319843054,127.61280918121338,convlstm,5
