epoch,train_loss,val_loss,seconds,method,max_h
1,1.086012102567469,1.014536838978529,121.41594076156616,object_token_no_geom,5
2,1.0258966857776677,1.019723971374333,121.27156519889832,object_token_no_geom,5
3,1.0055530945020925,1.020249749533832,120.82917857170105,object_token_no_geom,5
4,0.9756255968719117,1.011030737310648,123.7201497554779,object_token_no_geom,5
5,0.9456179579977173,1.021548219025135,122.49845337867737,object_token_no_geom,5
6,0.9132689020251701,1.0279149562120438,119.2331702709198,object_token_no_geom,5
7,0.881953673632764,1.0211692675948143,118.5747811794281,object_token_no_geom,5
8,0.85527495674885,1.075292930006981,126.45363140106201,object_token_no_geom,5
9,0.8330380167421056,1.0457360194996,122.65499496459961,object_token_no_geom,5
10,0.8083176945180085,1.0653217323124409,122.90947198867798,object_token_no_geom,5
