epoch,train_loss,val_loss,seconds,method,max_h
1,1.0712738088152027,1.0371188102290034,122.07983374595642,object_token_full,5
2,0.8895317580598933,0.7779881516471505,122.23053884506226,object_token_full,5
3,0.7568513280120344,0.7396668465808034,122.14298033714294,object_token_full,5
4,0.7174680647380225,0.6934530753642321,119.6150267124176,object_token_full,5
5,0.6846440127651117,0.6872959518805146,122.51109743118286,object_token_full,5
6,0.6635117314028696,0.6634049918502569,119.52204823493958,object_token_full,5
7,0.647448686275693,0.6928350860252976,123.81590008735657,object_token_full,5
8,0.6371735054210624,0.689388426952064,124.07927203178406,object_token_full,5
9,0.6234763401867496,0.6782596912235022,120.28247427940369,object_token_full,5
10,0.6121755791467857,0.6833386225625873,122.39146375656128,object_token_full,5
