epoch,train_loss,val_loss,seconds,method,max_h
1,1.0802796367158443,1.0000387420877814,132.57525157928467,object_token_det,10
2,0.9758115737055496,0.8515581423416734,137.0872597694397,object_token_det,10
3,0.8155015352240588,0.7665033582597971,139.0352828502655,object_token_det,10
4,0.7612726395413026,0.7604420585557818,141.2381076812744,object_token_det,10
5,0.7216535018662275,0.738234044983983,137.5925738811493,object_token_det,10
6,0.6932651303998257,0.7992365444079041,137.30720138549805,object_token_det,10
7,0.6657129735319113,0.744275713339448,136.7153558731079,object_token_det,10
8,0.6471442562692306,0.7587010143324733,137.1934051513672,object_token_det,10
9,0.6260793119342115,0.7814696514979005,138.27289199829102,object_token_det,10
10,0.6100367559630754,0.7906986773014069,134.64688181877136,object_token_det,10
