epoch,train_loss,val_loss,seconds,method,max_h
1,0.5777593107815167,0.3838154280092567,120.8388020992279,safeobjworld_r_full,5
2,0.47859201260583395,0.37040609773248434,123.14535069465637,safeobjworld_r_full,5
3,0.45704839219430093,0.3641194012016058,126.31228423118591,safeobjworld_r_full,5
4,0.4450421414267731,0.35826294543221593,131.92189931869507,safeobjworld_r_full,5
5,0.4366532995281518,0.36129194451496005,130.77601504325867,safeobjworld_r_full,5
6,0.4310629130589808,0.356887394329533,126.74424648284912,safeobjworld_r_full,5
7,0.42546454276443624,0.35119532444514334,129.99194979667664,safeobjworld_r_full,5
8,0.4208449885578445,0.3541427294258028,129.74520349502563,safeobjworld_r_full,5
9,0.4171521034963004,0.354440760333091,128.12319707870483,safeobjworld_r_full,5
10,0.4132907535215329,0.35158173367381096,124.41075253486633,safeobjworld_r_full,5
