epoch,train_loss,val_loss,seconds,method,max_h
1,0.7212795976508531,0.5116261756047606,136.9273762702942,safeobjworld_r_full,10
2,0.6172824639563309,0.4927881029434502,150.4776349067688,safeobjworld_r_full,10
3,0.5964755002308938,0.49173955293372273,145.9243860244751,safeobjworld_r_full,10
4,0.5820985122965435,0.4779518395662308,151.78577089309692,safeobjworld_r_full,10
5,0.573319112701882,0.4799837963655591,155.4578983783722,safeobjworld_r_full,10
6,0.5648737477578765,0.4798526824451983,155.49886202812195,safeobjworld_r_full,10
7,0.5583199702374124,0.478769741486758,146.16391921043396,safeobjworld_r_full,10
8,0.5518196570433506,0.4826378598809242,153.58854794502258,safeobjworld_r_full,10
9,0.5469022646680073,0.47818323131650686,158.21429061889648,safeobjworld_r_full,10
10,0.5427880428605161,0.4697149428538978,148.91252088546753,safeobjworld_r_full,10
