epoch,train_loss,val_loss,seconds,method,max_h
1,0.5768444534137324,0.37765333987772465,119.76333975791931,safeobjworld_r_mask_only,5
2,0.495395510263645,0.3796473788097501,127.6239697933197,safeobjworld_r_mask_only,5
3,0.4789945081315427,0.3779234194662422,128.76265692710876,safeobjworld_r_mask_only,5
4,0.4692913675011851,0.3735304018482566,127.02475380897522,safeobjworld_r_mask_only,5
5,0.4610791480919933,0.3728167046792805,125.28101634979248,safeobjworld_r_mask_only,5
6,0.45458056791436824,0.3694482878781855,126.7384729385376,safeobjworld_r_mask_only,5
7,0.44873375906634727,0.3594082877971232,128.21655130386353,safeobjworld_r_mask_only,5
8,0.4423321521468804,0.3560301922261715,127.7452757358551,safeobjworld_r_mask_only,5
9,0.4376413812294849,0.35611033719033003,126.646080493927,safeobjworld_r_mask_only,5
10,0.4341552777980792,0.35759337805211544,126.67127466201782,safeobjworld_r_mask_only,5
