method,stress,jf,ops,vanish,hallucination,split,mce,uec,ece_iou50
safeobjworld_r_no_temporal,distractor,0.6645821893546758,0.9578557171371542,0.0224123182207014,0.0030795551753635,0.2726546906187624,0.0030021141394023,0.1849622475863391,0.2382376420657656
safeobjworld_r_no_split,distractor,0.5441760857225468,0.9162718204488778,0.0393391521197007,0.0069513715710723,0.267643391521197,0.0026282328475797,0.1566071691421125,0.3923976193361003
safeobjworld_r_no_split,distractor,0.6704716643191332,0.9584830339321356,0.019788993441688,0.0039920159680638,0.282178500142572,0.0028926179692192,0.21138389095061,0.2389062351945257
safeobjworld_r_no_area,distractor,0.5403520696413904,0.9177369077306732,0.0382481296758104,0.0066708229426433,0.2775561097256858,0.0025292768052414,0.1466072853021076,0.3958126609164877
safeobjworld_r_no_area,distractor,0.6642586520858441,0.9572284003421728,0.0224123182207014,0.003193612774451,0.2814941545480467,0.003095748042749,0.2009491288175064,0.2379158218803655
safeobjworld_r_no_stress,distractor,0.5466802345809234,0.9124376558603492,0.0434538653366583,0.00607855361596,0.2996882793017456,0.0027776103554209,0.153321435512467,0.3853779181875196
safeobjworld_r_no_stress,distractor,0.6770819822434643,0.9613344739093242,0.0191616766467065,0.0039349871685201,0.2753350441973196,0.0028163559922452,0.2037155048132731,0.230838791050053
safeobjworld_r_det,distractor,0.5386620606725205,0.9121259351620948,0.0444825436408977,0.005860349127182,0.2305486284289276,0.0018334576944168,,0.3933407082763544
safeobjworld_r_det,distractor,0.6691992023499493,0.9552894211576848,0.0253207869974337,0.0025662959794696,0.2809808953521528,0.0028392425176914,,0.2311617087053375
safeobjworld_r_image_only,distractor,0.1124545132528783,0.3431733167082294,0.4199812967581047,0.0084476309226932,0.6374376558603492,0.0176030697793272,-0.128654788786293,0.9093287608235554
safeobjworld_r_image_only,distractor,0.1545503668019955,0.511149130310807,0.2022811519817507,0.0051325919589392,0.9482178500142572,0.0203667179425152,0.0869826438799656,0.881408783384698
safeobjworld_r_mask_only,distractor,0.5378350560410348,0.9096945137157108,0.0444201995012468,0.0063279301745635,0.2795822942643391,0.0029050688710436,0.0294231701537861,0.385098099037819
safeobjworld_r_mask_only,distractor,0.6571080059775688,0.9560878243512974,0.0226974622184203,0.0037639007698887,0.2226974622184203,0.0030563408690167,0.1744207129992674,0.236957608232615
object_token_full,distractor,0.2842478743478276,0.8553615960099751,0.0540835411471321,0.0083229426433915,0.119357855361596,0.0134724357941304,-0.226722347510181,0.7702353292384052
