method,stress,max_h,h,iou,boundary_f,jf,ops,vanish,hallucination,split,mce,uncertainty,uec,ece_iou50,n_samples
convlstm_base,clean,10,10,0.383513381277941,0.3201045066662645,0.3518089439721028,0.8157730673316709,0.0863466334164588,0.0112219451371571,0.189214463840399,0.0024811851650356,0.0,,0.6441106632203236,3208
convlstm_base,distractor,10,1,0.7728837108057874,0.896567026153192,0.8347253684794896,0.9822319201995012,0.0140274314214463,0.000935162094763,0.3104738154613466,0.0025092131118268,0.0,,0.0987014174461364,3208
convlstm_base,distractor,10,2,0.6872892998080566,0.7882893007357428,0.7377893002718996,0.9663341645885288,0.0202618453865336,0.0015586034912718,0.3132793017456359,0.0025092131118268,0.0,,0.1539194216008793,3208
convlstm_base,distractor,10,3,0.6229148663388768,0.6845523240791943,0.6537335952090356,0.951995012468828,0.0289900249376558,0.0021820448877805,0.2992518703241895,0.0025092131118268,0.0,,0.2303392461261844,3208
convlstm_base,distractor,10,4,0.5716594705919885,0.6018311549640528,0.5867453127780206,0.9364089775561096,0.0352244389027431,0.003428927680798,0.3020573566084788,0.0025092131118268,0.0,,0.3095703411132022,3208
convlstm_base,distractor,10,5,0.5294781591717188,0.5320640029960916,0.5307710810839052,0.9217581047381546,0.0405236907730673,0.0049875311720698,0.2899002493765586,0.0025092131118268,0.0,,0.379202115082384,3208
convlstm_base,distractor,10,6,0.4932902587618574,0.4739723373457581,0.4836312980538078,0.9008728179551122,0.0486284289276807,0.0065461346633416,0.2677680798004987,0.0025092131118268,0.0,,0.4356986535086001,3208
convlstm_base,distractor,10,7,0.4610978731109619,0.4252443005914141,0.4431710868511881,0.8855985037406484,0.0564214463840399,0.0077930174563591,0.2456359102244389,0.0025092131118268,0.0,,0.4914960277794008,3208
convlstm_base,distractor,10,8,0.4319913688585511,0.3842715113842417,0.4081314401213964,0.8644014962593516,0.0648379052369077,0.0090399002493765,0.2213216957605985,0.0025092131118268,0.0,,0.548437537212027,3208
convlstm_base,distractor,10,9,0.4059976230323117,0.3496469334063886,0.3778222782193501,0.8388403990024937,0.0773067331670823,0.010286783042394,0.1988778054862842,0.0025092131118268,0.0,,0.596850473944683,3208
convlstm_base,distractor,10,10,0.3838628273546409,0.3205465920863222,0.3522047097204815,0.8179551122194514,0.0879052369077306,0.0112219451371571,0.1870324189526184,0.0025092131118268,0.0,,0.6376249833854654,3208
convlstm_base,frame_drop,10,1,0.7300634278605933,0.8547227976916252,0.7923931127761092,0.9819201995012468,0.0134039900249376,0.000935162094763,0.3082917705735661,0.0034865888864961,0.0,,0.1184189915657043,3208
convlstm_base,frame_drop,10,2,0.6380591590365956,0.7163337907586319,0.6771964748976138,0.957294264339152,0.024002493765586,0.0012468827930174,0.3304239401496259,0.0034865888864961,0.0,,0.2129218625903426,3208
convlstm_base,frame_drop,10,3,0.5776132146910348,0.6121769969809592,0.5948951058359969,0.9385910224438904,0.0352244389027431,0.0021820448877805,0.3506857855361596,0.0034865888864961,0.0,,0.2971504982421523,3208
convlstm_base,frame_drop,10,4,0.5307224274478048,0.5321717210492032,0.531447074248504,0.9192643391521196,0.0386533665835411,0.003428927680798,0.3500623441396508,0.0034865888864961,0.0,,0.3685152043130927,3208
convlstm_base,frame_drop,10,5,0.4930815211432243,0.4708450242623165,0.4819632727027704,0.9002493765586035,0.0470698254364089,0.0049875311720698,0.3282418952618454,0.0034865888864961,0.0,,0.436008358536813,3208
convlstm_base,frame_drop,10,6,0.4609327543666867,0.4206428064163553,0.440787780391521,0.8809226932668329,0.0586034912718204,0.0065461346633416,0.3051745635910224,0.0034865888864961,0.0,,0.4957467046870555,3208
convlstm_base,frame_drop,10,7,0.4317814538451323,0.3780405780421327,0.4049110159436324,0.858790523690773,0.0716957605985037,0.0074812967581047,0.2752493765586035,0.0034865888864961,0.0,,0.5417538249581829,3208
convlstm_base,frame_drop,10,8,0.4057555883643136,0.3416854313365572,0.3737205098504355,0.8369700748129676,0.0860349127182044,0.0090399002493765,0.2412718204488778,0.0034865888864961,0.0,,0.5846198487683127,3208
convlstm_base,frame_drop,10,9,0.3827390852558857,0.312006920551275,0.3473730029035803,0.8114089775561097,0.0972568578553615,0.010286783042394,0.2107231920199501,0.0034865888864961,0.0,,0.6274100694424494,3208
convlstm_base,frame_drop,10,10,0.3621431044964406,0.2867187433183398,0.3244309239073901,0.7892768079800498,0.1131546134663341,0.0109102244389027,0.1873441396508728,0.0034865888864961,0.0,,0.6635169581024725,3208
convlstm_base,lowlight,10,1,0.7731229785007744,0.8922672957470051,0.8326951371238898,0.98285536159601,0.013715710723192,0.000935162094763,0.310785536159601,0.0025604512042349,0.0,,0.0999410152435302,3208
convlstm_base,lowlight,10,2,0.6864956868634609,0.7824784213367977,0.7344870541001293,0.9604114713216958,0.0221321695760598,0.0015586034912718,0.3117206982543641,0.0025604512042349,0.0,,0.1530856562968799,3208
convlstm_base,lowlight,10,3,0.6213948257032158,0.6802612887841201,0.6508280572436679,0.9376558603491272,0.0293017456359102,0.0024937655860349,0.2942643391521197,0.0025604512042349,0.0,,0.232945629040202,3208
convlstm_base,lowlight,10,4,0.5692831466153109,0.5960481448801519,0.5826656457477314,0.9208229426433916,0.0389650872817955,0.003428927680798,0.280860349127182,0.0025604512042349,0.0,,0.3116190069891568,3208
convlstm_base,lowlight,10,5,0.5261526913981182,0.5270728186359381,0.5266127550170282,0.9067955112219452,0.0495635910224438,0.0046758104738154,0.2690149625935162,0.0025604512042349,0.0,,0.3794507289728024,3208
convlstm_base,lowlight,10,6,0.4894062693895065,0.4689246084321249,0.4791654389108157,0.8899625935162094,0.0595386533665835,0.0059226932668329,0.2546758104738154,0.0025604512042349,0.0,,0.4391386235258228,3208
convlstm_base,lowlight,10,7,0.4560694088967219,0.4182629093574201,0.4371661591270711,0.8728179551122195,0.0698254364089775,0.0074812967581047,0.2316084788029925,0.0025604512042349,0.0,,0.5047310590744019,3208
convlstm_base,lowlight,10,8,0.4265914151392017,0.3761363593177138,0.4013638872284577,0.8534912718204489,0.0807356608478803,0.0087281795511221,0.2116583541147132,0.0025604512042349,0.0,,0.5596902584308697,3208
convlstm_base,lowlight,10,9,0.4008148922819032,0.3416165880824149,0.3712157401821591,0.8269950124688279,0.0913341645885286,0.0099750623441396,0.1907730673316708,0.0025604512042349,0.0,,0.5981031255866227,3208
convlstm_base,lowlight,10,10,0.378104342565762,0.3126163686692746,0.3453603556175183,0.8095386533665836,0.105361596009975,0.0112219451371571,0.1645885286783042,0.0025604512042349,0.0,,0.6386429779324448,3208
convlstm_base,noise,10,1,0.772502874398104,0.8962891152879132,0.8343959948430087,0.9825436408977556,0.013715710723192,0.000935162094763,0.3070448877805486,0.0024797403174416,0.0,,0.0990366339683532,3208
