method,max_h,stress,jf_clean,jf_stress,jf_drop,ops_clean,ops_stress,ops_drop,split_clean,split_stress,split_increase,vanish_clean,vanish_stress,vanish_increase
convlstm_base,10,blur,0.5399808571738327,0.5398758002120135,0.0001050569618191,0.9070137157107232,0.9072630922693268,-0.0002493765586035,0.2646508728179551,0.2573254364089775,-0.0073254364089775,0.0466022443890274,0.0468827930174563,0.0002805486284288
convlstm_base,10,distractor,0.5399808571738327,0.5408725470788575,-0.0008916899050247,0.9070137157107232,0.906639650872818,0.0003740648379052,0.2646508728179551,0.2635598503740648,-0.0010910224438902,0.0466022443890274,0.0474127182044887,0.0008104738154613
convlstm_base,10,frame_drop,0.5399808571738327,0.4969118273457554,0.0430690298280773,0.9070137157107232,0.8874688279301746,0.0195448877805486,0.2646508728179551,0.2887468827930174,0.0240960099750623,0.0466022443890274,0.0585099750623441,0.0119077306733167
convlstm_base,10,lowlight,0.5399808571738327,0.5361560230298468,0.0038248341439859,0.9070137157107232,0.8961346633416459,0.0108790523690772,0.2646508728179551,0.2519950124688279,-0.0126558603491271,0.0466022443890274,0.0560473815461346,0.0094451371571072
convlstm_base,10,noise,0.5399808571738327,0.5402915785027405,-0.0003107213289077,0.9070137157107232,0.9072007481296758,-0.0001870324189525,0.2646508728179551,0.2656483790523691,0.000997506234414,0.0466022443890274,0.0464775561097256,-0.0001246882793018
convlstm_base,10,occlusion,0.5399808571738327,0.4481281075438922,0.0918527496299405,0.9070137157107232,0.88285536159601,0.0241583541147132,0.2646508728179551,0.5857543640897755,0.3211034912718205,0.0466022443890274,0.0567331670822942,0.0101309226932667
convlstm_base,5,blur,0.6744766635561769,0.6746400147105499,-0.000163351154373,0.9537496435700028,0.9540347875677218,-0.0002851439977189,0.2934131736526946,0.2920444824636441,-0.0013686911890504,0.0271457085828343,0.0275449101796407,0.0003992015968064
convlstm_base,5,distractor,0.6744766635561769,0.6751215120174024,-0.0006448484612255,0.9537496435700028,0.954491017964072,-0.0007413743940691,0.2934131736526946,0.2935272312517821,0.0001140575990875,0.0271457085828343,0.0270886797832905,-5.702879954379986e-05
convlstm_base,5,frame_drop,0.6744766635561769,0.6121176334361604,0.0623590301200164,0.9537496435700028,0.9374964357000284,0.0162532078699744,0.2934131736526946,0.3367550613059595,0.0433418876532649,0.0271457085828343,0.0339321357285429,0.0067864271457086
convlstm_base,5,lowlight,0.6744766635561769,0.6713381467766762,0.0031385167795006,0.9537496435700028,0.9539207299686342,-0.0001710863986313,0.2934131736526946,0.3063016823495865,0.0128885086968918,0.0271457085828343,0.0242942686056458,-0.0028514399771884
convlstm_base,5,noise,0.6744766635561769,0.6745080673201074,-3.140376393051536e-05,0.9537496435700028,0.9537496435700028,0.0,0.2934131736526946,0.2940975192472198,0.0006843455945251,0.0271457085828343,0.0272027373823781,5.702879954379986e-05
convlstm_base,5,occlusion,0.6744766635561769,0.5517579378865417,0.1227187256696351,0.9537496435700028,0.9348731109210152,0.0188765326489875,0.2934131736526946,0.6471628172226974,0.3537496435700028,0.0271457085828343,0.0335899629312803,0.0064442543484459
convlstm_stress,10,blur,0.538377153402537,0.5386159623143233,-0.0002388089117862,0.9063279301745636,0.90642144638404,-9.351620947639638e-05,0.2756234413965087,0.2716957605985037,-0.0039276807980049,0.047288029925187,0.0475374064837905,0.0002493765586034
convlstm_stress,10,distractor,0.538377153402537,0.5404607890073609,-0.0020836356048239,0.9063279301745636,0.9068266832917704,-0.0004987531172068,0.2756234413965087,0.2758416458852867,0.000218204488778,0.047288029925187,0.0466957605985037,-0.0005922693266832
convlstm_stress,10,frame_drop,0.538377153402537,0.5287009312977928,0.0096762221047441,0.9063279301745636,0.9024937655860348,0.0038341645885288,0.2756234413965087,0.2779613466334165,0.0023379052369078,0.047288029925187,0.049002493765586,0.0017144638403989
convlstm_stress,10,lowlight,0.538377153402537,0.5459546015093183,-0.0075774481067812,0.9063279301745636,0.906577306733167,-0.0002493765586034,0.2756234413965087,0.2783977556109726,0.0027743142144638,0.047288029925187,0.0452618453865336,-0.0020261845386534
convlstm_stress,10,noise,0.538377153402537,0.5388365622997571,-0.00045940889722,0.9063279301745636,0.9063279301745636,0.0,0.2756234413965087,0.2765897755610972,0.0009663341645885,0.047288029925187,0.0471945137157107,-9.351620947629924e-05
convlstm_stress,10,occlusion,0.538377153402537,0.5152456850228443,0.0231314683796927,0.9063279301745636,0.9,0.0063279301745635,0.2756234413965087,0.3101620947630922,0.0345386533665835,0.047288029925187,0.0481296758104738,0.0008416458852868
convlstm_stress,5,blur,0.6700210798900075,0.670230485732147,-0.0002094058421395,0.9550613059595096,0.9550042771599658,5.702879954372353e-05,0.2819503849443969,0.279441117764471,-0.0025092671799258,0.0255489021956087,0.0255489021956087,0.0
convlstm_stress,5,distractor,0.6700210798900075,0.6707669991217933,-0.0007459192317857,0.9550613059595096,0.9556315939549472,-0.0005702879954376,0.2819503849443969,0.2798973481608212,-0.0020530367835757,0.0255489021956087,0.0253778157969774,-0.0001710863986313
convlstm_stress,5,frame_drop,0.6700210798900075,0.652045297884261,0.0179757820057464,0.9550613059595096,0.9501568291987452,0.0049044767607643,0.2819503849443969,0.2842315369261477,0.0022811519817508,0.0255489021956087,0.0282862845737097,0.0027373823781009
