method,stress,max_h,h,iou,boundary_f,jf,ops,vanish,hallucination,split,components,mce,pred_area,gt_area,uncertainty,confidence,brier_iou50,uec,ece_iou50,aurc_unc,selective_jf_80,n_rows,n_samples
convlstm_base,blur,10,all,0.535600147955823,0.5441514524682041,0.5398758002120135,0.9072630922693268,0.0468827930174563,0.0057668329177057,0.2573254364089775,1.4349127182044887,0.0024510118615167,0.0675187235362115,0.0600551242675104,0.0,0.9862976226426122,0.38903374292904,,0.3891965847378805,0.501172801351177,0.5347313284873962,32080,3208
convlstm_base,blur,10,1,0.7725897962815876,0.8960000496534597,0.8342949229675235,0.9825436408977556,0.0140274314214463,0.000935162094763,0.3095386533665835,1.7668329177057356,0.0024510118615167,0.0609966900646603,0.0593433797640231,0.0,0.9964502196656796,0.1016759362601282,,0.098694622516632,0.2543332855671067,0.8250073194503784,3208,3208
convlstm_base,blur,10,2,0.6864178436581688,0.786426463286345,0.7364221534722569,0.9663341645885288,0.020573566084788,0.0018703241895261,0.3086034912718204,1.6337281795511225,0.0024510118615167,0.0620786308020097,0.0595522336465693,0.0,0.993968478462048,0.158650654435455,,0.1551281034834961,0.3407352434696132,0.7271824479103088,3208,3208
convlstm_base,blur,10,3,0.6221128124956039,0.6830253262947649,0.6525690693951843,0.950436408977556,0.0293017456359102,0.0021820448877805,0.3008104738154613,1.5417705735660847,0.0024510118615167,0.0639176679205848,0.0597427127169056,0.0,0.9917882600627338,0.2344152236965826,,0.2311897084228415,0.4089077294992383,0.6438388228416443,3208,3208
convlstm_base,blur,10,4,0.5708759894179465,0.5997018665316075,0.585288927974777,0.9379675810473816,0.0352244389027431,0.003428927680798,0.3017456359102244,1.4993765586034913,0.0024510118615167,0.0654278610115336,0.0599221905766183,0.0,0.9896273719996884,0.3099189182172095,,0.3072707509608042,0.4644149190117828,0.5770670771598816,3208,3208
convlstm_base,blur,10,5,0.5287697380693386,0.5293977365150645,0.5290837372922016,0.9208229426433916,0.041147132169576,0.0049875311720698,0.2811720698254364,1.4336034912718203,0.0024510118615167,0.066959312398799,0.0600730872742189,0.0,0.9875380214015742,0.3786739043315449,,0.3768772210674987,0.5098321804889001,0.5225088000297546,3208,3208
convlstm_base,blur,10,6,0.4927417042591207,0.472266085403224,0.4825038948311724,0.9036783042394017,0.0476932668329177,0.0065461346633416,0.2596633416458853,1.3912094763092269,0.0024510118615167,0.0683911863407886,0.0602081713170415,0.0,0.9854005732738468,0.4365785802688979,,0.4358369831246628,0.5477615990359915,0.4776633083820343,3208,3208
convlstm_base,blur,10,7,0.4608911588168593,0.4237626172756653,0.4423268880462623,0.885286783042394,0.0554862842892768,0.0074812967581047,0.2362842892768079,1.333852867830424,0.0024510118615167,0.0697694917437309,0.0603258614396084,0.0,0.9831719529301746,0.4946800231041753,,0.4956407555915471,0.5804938377535213,0.4391936659812927,3208,3208
convlstm_base,blur,10,8,0.4314841853401164,0.3824339904797579,0.4069590879099372,0.8687655860349127,0.064214463840399,0.0090399002493765,0.2069825436408977,1.2789900249376558,0.0024510118615167,0.071171017226898,0.0604134736942366,0.0,0.9808517037484414,0.548131912129181,,0.5509888289723908,0.6108531783833058,0.4047363102436065,3208,3208
convlstm_base,blur,10,9,0.4062711470558718,0.3486998953364017,0.3774855211961369,0.84071072319202,0.0754364089775561,0.0099750623441396,0.1901496259351621,1.244700748129676,0.0024510118615167,0.0725544638566344,0.0604720227967407,0.0,0.9783973598718048,0.5930706560611725,,0.5980980784964384,0.635633381047565,0.3766153752803802,3208,3208
convlstm_base,blur,10,10,0.3838471041636171,0.3198004939057509,0.351823799034684,0.8160847880299252,0.0857231920199501,0.0112219451371571,0.1783042394014962,1.2250623441396509,0.0024510118615167,0.0739209139964758,0.0604981094491419,0.0,0.9757822850101308,0.6345416207860533,,0.6422411244632004,0.6576033108555616,0.3522658944129944,3208,3208
convlstm_base,clean,10,all,0.5354404677515584,0.5445212465961069,0.5399808571738327,0.9070137157107232,0.0466022443890274,0.0057668329177057,0.2646508728179551,1.449220698254364,0.0024811851650356,0.0677641080336809,0.0600551242675104,0.0,0.9864526458511924,0.3896599854094132,,0.3898504788367231,0.5012067190459126,0.5347964763641357,32080,3208
convlstm_base,clean,10,1,0.7723962700112045,0.8962161685872452,0.8343062192992248,0.9822319201995012,0.0140274314214463,0.000935162094763,0.3095386533665835,1.7621571072319202,0.0024811851650356,0.0610321290144863,0.0593433797640231,0.0,0.9964774647853024,0.1023005078409675,,0.099345326423645,0.2544974067286444,0.8250502943992615,3208,3208
convlstm_base,clean,10,2,0.6863387279446094,0.7868098474528434,0.7365742876987265,0.9669576059850374,0.0196384039900249,0.0018703241895261,0.3070448877805486,1.6306109725685785,0.0024811851650356,0.0621773372828778,0.0595522336465693,0.0,0.9940273827150872,0.1580690918420615,,0.1545635183478828,0.3407078488577661,0.7273847460746765,3208,3208
convlstm_base,clean,10,3,0.6220789766108288,0.6832134673831832,0.6526462219970058,0.9516832917705736,0.0286783042394014,0.0021820448877805,0.2986284289276808,1.5417705735660847,0.0024811851650356,0.0640777139724473,0.0597427127169056,0.0,0.9918795844860504,0.2344484109979615,,0.2312810808754621,0.4087714014972681,0.6439700126647949,3208,3208
convlstm_base,clean,10,4,0.5706927841550261,0.599999797590358,0.5853462908726922,0.9379675810473816,0.0346009975062344,0.003428927680798,0.307356608478803,1.513715710723192,0.0024811851650356,0.0656452131390274,0.0599221905766183,0.0,0.9897436584320448,0.3136559811018946,,0.311127658422451,0.4643603479367616,0.5771834850311279,3208,3208
convlstm_base,clean,10,5,0.5286647617911321,0.5297407654851995,0.5292027636381659,0.9208229426433916,0.0408354114713217,0.0049875311720698,0.2917705735660847,1.4576059850374066,0.0024811851650356,0.0672190458234838,0.0600730872742189,0.0,0.9876683109121728,0.3780883025201478,,0.3763840712068086,0.509728383803155,0.5225959420204163,3208,3208
convlstm_base,clean,10,6,0.4926310655628554,0.4725607177025246,0.48259589163269,0.9011845386533666,0.0467581047381546,0.0065461346633416,0.2711970074812967,1.4145885286783042,0.0024811851650356,0.0686765328838277,0.0602081713170415,0.0,0.985555063756624,0.4357649977516355,,0.4350563543395806,0.5477572403843339,0.4777005314826965,3208,3208
convlstm_base,clean,10,7,0.4607773824832547,0.4242863392530412,0.442531860868148,0.885286783042394,0.0542394014962593,0.0074812967581047,0.2456359102244389,1.3572319201995011,0.0024811851650356,0.0700905140036194,0.0603258614396084,0.0,0.9833612989011844,0.4957624328998556,,0.4967653197131846,0.580478925233601,0.439316987991333,3208,3208
convlstm_base,clean,10,8,0.4313090709384394,0.3831718597571394,0.4072404653477893,0.8668952618453866,0.064214463840399,0.0090399002493765,0.2275561097256858,1.3086034912718203,0.0024811851650356,0.0715108962890083,0.0604134736942366,0.0,0.9810701213275406,0.5465549931413217,,0.5493369340116246,0.610915451455939,0.4048667848110199,3208,3208
convlstm_base,clean,10,9,0.4060022567402921,0.3491089960832708,0.3775556264117814,0.8413341645885287,0.0766832917705735,0.0099750623441396,0.1985660847880299,1.2649625935162094,0.0024811851650356,0.072917520719144,0.0604720227967407,0.0,0.9786503285243922,0.5955304123665627,,0.6005331121403678,0.6357330526374532,0.3765688836574554,3208,3208
convlstm_base,clean,10,10,0.383513381277941,0.3201045066662645,0.3518089439721028,0.8157730673316709,0.0863466334164588,0.0112219451371571,0.189214463840399,1.2409600997506234,0.0024811851650356,0.0742941772088875,0.0604981094491419,0.0,0.9760932446715244,0.6364247236317233,,0.6441106632203236,0.6578911246852454,0.3521474301815033,3208,3208
convlstm_base,distractor,10,all,0.5360465457834751,0.5456985483742398,0.5408725470788575,0.906639650872818,0.0474127182044887,0.0057980049875311,0.2635598503740648,1.4555174563591022,0.0025092131118268,0.0675168353191998,0.0600551242675104,0.0,0.9864695560902432,0.3880497095293534,,0.3881840455691862,0.500815273744028,0.5356209874153137,32080,3208
convlstm_base,distractor,10,1,0.7728837108057874,0.896567026153192,0.8347253684794896,0.9822319201995012,0.0140274314214463,0.000935162094763,0.3104738154613466,1.7718204488778055,0.0025092131118268,0.0609703328213753,0.0593433797640231,0.0,0.9964570689974284,0.1016840184864558,,0.0987014174461364,0.254138776773514,0.8254161477088928,3208,3208
