method,max_h,stress,jf_clean,jf_stress,jf_drop,ops_clean,ops_stress,ops_drop,split_clean,split_stress,split_increase,vanish_clean,vanish_stress,vanish_increase
convlstm_base,10,blur,0.5399808571738327,0.5398758002120135,0.00010505696181917212,0.9070137157107232,0.9072630922693268,-0.00024937655860357566,0.2646508728179551,0.2573254364089775,-0.0073254364089775925,0.0466022443890274,0.0468827930174563,0.0002805486284288977
convlstm_base,10,distractor,0.5399808571738327,0.5408725470788575,-0.0008916899050247507,0.9070137157107232,0.906639650872818,0.00037406483790525247,0.2646508728179551,0.2635598503740648,-0.001091022443890255,0.0466022443890274,0.0474127182044887,0.0008104738154613017
convlstm_base,10,frame_drop,0.5399808571738327,0.4969118273457554,0.04306902982807731,0.9070137157107232,0.8874688279301746,0.019544887780548637,0.2646508728179551,0.2887468827930174,0.024096009975062338,0.0466022443890274,0.0585099750623441,0.0119077306733167
convlstm_base,10,lowlight,0.5399808571738327,0.5361560230298468,0.0038248341439859335,0.9070137157107232,0.8961346633416459,0.010879052369077269,0.2646508728179551,0.2519950124688279,-0.01265586034912719,0.0466022443890274,0.0560473815461346,0.009445137157107202
convlstm_base,10,noise,0.5399808571738327,0.5402915785027405,-0.0003107213289077482,0.9070137157107232,0.9072007481296758,-0.00018703241895257072,0.2646508728179551,0.2656483790523691,0.000997506234414025,0.0466022443890274,0.0464775561097256,-0.0001246882793018017
convlstm_base,10,occlusion,0.5399808571738327,0.4481281075438922,0.0918527496299405,0.9070137157107232,0.88285536159601,0.024158354114713232,0.2646508728179551,0.5857543640897755,0.3211034912718205,0.0466022443890274,0.0567331670822942,0.010130922693266799
convlstm_base,5,blur,0.6744766635561769,0.6746400147105499,-0.00016335115437304815,0.9537496435700028,0.9540347875677218,-0.0002851439977189507,0.2934131736526946,0.2920444824636441,-0.001368691189050475,0.0271457085828343,0.0275449101796407,0.00039920159680640124
convlstm_base,5,distractor,0.6744766635561769,0.6751215120174024,-0.0006448484612255889,0.9537496435700028,0.954491017964072,-0.000741374394069183,0.2934131736526946,0.2935272312517821,0.00011405759908750257,0.0271457085828343,0.0270886797832905,-5.702879954379986e-05
convlstm_base,5,frame_drop,0.6744766635561769,0.6121176334361604,0.06235903012001642,0.9537496435700028,0.9374964357000284,0.016253207869974418,0.2934131736526946,0.3367550613059595,0.04334188765326491,0.0271457085828343,0.0339321357285429,0.0067864271457086026
convlstm_base,5,lowlight,0.6744766635561769,0.6713381467766762,0.003138516779500611,0.9537496435700028,0.9539207299686342,-0.00017108639863139263,0.2934131736526946,0.3063016823495865,0.012888508696891898,0.0271457085828343,0.0242942686056458,-0.0028514399771884975
convlstm_base,5,noise,0.6744766635561769,0.6745080673201074,-3.140376393051536e-05,0.9537496435700028,0.9537496435700028,0.0,0.2934131736526946,0.2940975192472198,0.000684345594525182,0.0271457085828343,0.0272027373823781,5.702879954379986e-05
convlstm_base,5,occlusion,0.6744766635561769,0.5517579378865417,0.12271872566963515,0.9537496435700028,0.9348731109210152,0.018876532648987587,0.2934131736526946,0.6471628172226974,0.3537496435700028,0.0271457085828343,0.0335899629312803,0.006444254348445998
convlstm_stress,10,blur,0.538377153402537,0.5386159623143233,-0.00023880891178629238,0.9063279301745636,0.90642144638404,-9.351620947639638e-05,0.2756234413965087,0.2716957605985037,-0.003927680798004984,0.047288029925187,0.0475374064837905,0.00024937655860349933
convlstm_stress,10,distractor,0.538377153402537,0.5404607890073609,-0.0020836356048239413,0.9063279301745636,0.9068266832917704,-0.0004987531172068183,0.2756234413965087,0.2758416458852867,0.00021820448877801768,0.047288029925187,0.0466957605985037,-0.0005922693266832979
convlstm_stress,10,frame_drop,0.538377153402537,0.5287009312977928,0.00967622210474417,0.9063279301745636,0.9024937655860348,0.00383416458852881,0.2756234413965087,0.2779613466334165,0.0023379052369078,0.047288029925187,0.049002493765586,0.0017144638403989998
convlstm_stress,10,lowlight,0.538377153402537,0.5459546015093183,-0.007577448106781293,0.9063279301745636,0.906577306733167,-0.00024937655860346464,0.2756234413965087,0.2783977556109726,0.002774314214463891,0.047288029925187,0.0452618453865336,-0.0020261845386534
convlstm_stress,10,noise,0.538377153402537,0.5388365622997571,-0.0004594088972200705,0.9063279301745636,0.9063279301745636,0.0,0.2756234413965087,0.2765897755610972,0.0009663341645885226,0.047288029925187,0.0471945137157107,-9.351620947629924e-05
convlstm_stress,10,occlusion,0.538377153402537,0.5152456850228443,0.02313146837969271,0.9063279301745636,0.9,0.006327930174563567,0.2756234413965087,0.3101620947630922,0.034538653366583516,0.047288029925187,0.0481296758104738,0.0008416458852868042
convlstm_stress,5,blur,0.6700210798900075,0.670230485732147,-0.00020940584213957614,0.9550613059595096,0.9550042771599658,5.702879954372353e-05,0.2819503849443969,0.279441117764471,-0.002509267179925889,0.0255489021956087,0.0255489021956087,0.0
convlstm_stress,5,distractor,0.6700210798900075,0.6707669991217933,-0.0007459192317857966,0.9550613059595096,0.9556315939549472,-0.0005702879954376794,0.2819503849443969,0.2798973481608212,-0.0020530367835757124,0.0255489021956087,0.0253778157969774,-0.00017108639863130243
convlstm_stress,5,frame_drop,0.6700210798900075,0.652045297884261,0.017975782005746455,0.9550613059595096,0.9501568291987452,0.004904476760764331,0.2819503849443969,0.2842315369261477,0.0022811519817508286,0.0255489021956087,0.0282862845737097,0.0027373823781009984
convlstm_stress,5,lowlight,0.6700210798900075,0.6704781911513985,-0.00045711126139103,0.9550613059595096,0.9573424579412604,-0.0022811519817508286,0.2819503849443969,0.2914741944682064,0.00952380952380949,0.0255489021956087,0.0219560878243512,-0.0035928143712575
convlstm_stress,5,noise,0.6700210798900075,0.6700680930928703,-4.701320286282229e-05,0.9550613059595096,0.954947248360422,0.00011405759908755808,0.2819503849443969,0.2820074137439406,5.702879954372353e-05,0.0255489021956087,0.025491873396065,-5.702879954370271e-05
convlstm_stress,5,occlusion,0.6700210798900075,0.6247783607493939,0.04524271914061362,0.9550613059595096,0.9428001140575992,0.012261191901910329,0.2819503849443969,0.4183632734530938,0.13641288850869693,0.0255489021956087,0.0279441117764471,0.0023952095808384005
copy_last,10,blur,0.5144217110906346,0.5144217110906346,0.0,0.868142144638404,0.868142144638404,0.0,0.4809850374064838,0.4809850374064838,0.0,0.0557668329177057,0.0557668329177057,0.0
copy_last,10,distractor,0.5144217110906346,0.5144217110906346,0.0,0.868142144638404,0.868142144638404,0.0,0.4809850374064838,0.4809850374064838,0.0,0.0557668329177057,0.0557668329177057,0.0
copy_last,10,frame_drop,0.5144217110906346,0.5144217110906346,0.0,0.868142144638404,0.868142144638404,0.0,0.4809850374064838,0.4809850374064838,0.0,0.0557668329177057,0.0557668329177057,0.0
copy_last,10,lowlight,0.5144217110906346,0.5144217110906346,0.0,0.868142144638404,0.868142144638404,0.0,0.4809850374064838,0.4809850374064838,0.0,0.0557668329177057,0.0557668329177057,0.0
copy_last,10,noise,0.5144217110906346,0.5144217110906346,0.0,0.868142144638404,0.868142144638404,0.0,0.4809850374064838,0.4809850374064838,0.0,0.0557668329177057,0.0557668329177057,0.0
copy_last,10,occlusion,0.5144217110906346,0.4215289177898669,0.09289279330076772,0.868142144638404,0.8336658354114713,0.03447630922693268,0.4809850374064838,0.8001870324189526,0.3192019950124688,0.0557668329177057,0.0626558603491271,0.0068890274314213976
copy_last,5,blur,0.6267042922433199,0.6267042922433199,0.0,0.9219846022241232,0.9219846022241232,0.0,0.4781864841745081,0.4781864841745081,0.0,0.0334188765326489,0.0334188765326489,0.0
copy_last,5,distractor,0.6267042922433199,0.6267042922433199,0.0,0.9219846022241232,0.9219846022241232,0.0,0.4781864841745081,0.4781864841745081,0.0,0.0334188765326489,0.0334188765326489,0.0
copy_last,5,frame_drop,0.6267042922433199,0.6267042922433199,0.0,0.9219846022241232,0.9219846022241232,0.0,0.4781864841745081,0.4781864841745081,0.0,0.0334188765326489,0.0334188765326489,0.0
copy_last,5,lowlight,0.6267042922433199,0.6267042922433199,0.0,0.9219846022241232,0.9219846022241232,0.0,0.4781864841745081,0.4781864841745081,0.0,0.0334188765326489,0.0334188765326489,0.0
copy_last,5,noise,0.6267042922433199,0.6267042922433199,0.0,0.9219846022241232,0.9219846022241232,0.0,0.4781864841745081,0.4781864841745081,0.0,0.0334188765326489,0.0334188765326489,0.0
copy_last,5,occlusion,0.6267042922433199,0.5101092812012304,0.11659501104208947,0.9219846022241232,0.9005988023952096,0.021385799828913532,0.4781864841745081,0.7944111776447106,0.3162246934702025,0.0334188765326489,0.0376960364984317,0.0042771599657828036
flow_linear_fallback,10,blur,0.5454785347705556,0.5456016120810955,-0.00012307731053984305,0.8716645885286783,0.8715399002493766,0.00012468827930178783,0.5227244389027431,0.523285536159601,0.0005610972568579342,0.0588840399002493,0.0586346633416458,-0.00024937655860349933
flow_linear_fallback,10,distractor,0.5454785347705556,0.5461527091494813,-0.000674174378925696,0.8716645885286783,0.8725997506234414,-0.0009351620947630757,0.5227244389027431,0.525997506234414,0.003273067331670876,0.0588840399002493,0.0566708229426433,-0.0022132169576059985
flow_linear_fallback,10,frame_drop,0.5454785347705556,0.4316237172800187,0.11385481749053694,0.8716645885286783,0.7749064837905237,0.0967581047381546,0.5227244389027431,0.546571072319202,0.023846633416458873,0.0588840399002493,0.1249064837905236,0.06602244389027431
flow_linear_fallback,10,lowlight,0.5454785347705556,0.5464716516955289,-0.0009931169249732807,0.8716645885286783,0.8724750623441396,-0.0008104738154612878,0.5227244389027431,0.5254052369077307,0.00268079800498755,0.0588840399002493,0.0582605985037406,-0.0006234413965086963
