method,stress,max_h,iou,boundary_f,jf,ops,vanish,hallucination,split,mce,uncertainty,uec,ece_iou50,brier_iou50,aurc_unc,selective_jf_80,n_samples
convlstm_base,clean,10,0.5354404677515584,0.5445212465961069,0.5399808571738327,0.9070137157107232,0.0466022443890274,0.0057668329177057,0.2646508728179551,0.0024811851650356,0.0,,0.3898504788367231,0.3896599854094132,0.5012067190459126,0.5347964763641357,3208
convlstm_base,clean,5,0.6434221531159178,0.7055311739964358,0.6744766635561769,0.9537496435700028,0.0271457085828343,0.0023381807812945,0.2934131736526946,0.0031176162495082,0.0,,0.2296812192748542,0.2328721922756703,0.3893943896865795,0.667464554309845,3507
convlstm_stress,clean,10,0.5328641279672546,0.5438901788378194,0.538377153402537,0.9063279301745636,0.047288029925187,0.0058291770573566,0.2756234413965087,0.0023852083391459,0.0,,0.3936419881787383,0.393582335493511,0.5032096454095633,0.5348479747772217,3208
convlstm_stress,clean,5,0.639654251131725,0.70038790864829,0.6700210798900075,0.9550613059595096,0.0255489021956087,0.0026803535785571,0.2819503849443969,0.002992841972984,0.0,,0.2333449084499741,0.2367613783309627,0.3938033288456135,0.6630735397338867,3507
copy_last,clean,10,0.4670797084557972,0.5617637137254718,0.5144217110906346,0.868142144638404,0.0557668329177057,0.0084788029925187,0.4809850374064838,0.0,0.0,,0.5206982493400574,0.5206982543640898,0.5938232824180851,0.5103079676628113,3208
copy_last,clean,5,0.5646566328699503,0.6887519516166893,0.6267042922433199,0.9219846022241232,0.0334188765326489,0.0051325919589392,0.4781864841745081,0.0,0.0,,0.3661819100379944,0.3661819218705446,0.4901883078988218,0.6213588714599609,3507
flow_linear_fallback,clean,10,0.4960443287293223,0.594912740811789,0.5454785347705556,0.8716645885286783,0.0588840399002493,0.0084788029925187,0.5227244389027431,0.0014340785144056,0.0,,0.4746259450912475,0.4746259351620948,0.5425147794957152,0.5383529663085938,3208
flow_linear_fallback,clean,5,0.6069984018668083,0.744218366685142,0.6756083842759751,0.9276304533789564,0.0288565725691474,0.0051325919589392,0.5182207014542344,0.0034445075827978,0.0,,0.3045908212661743,0.3045908183632734,0.4232651268572168,0.6695379614830017,3507
flow_warp,clean,10,0.4826991642889011,0.5802424352964175,0.5314707997926593,0.8630299251870324,0.0641521197007481,0.0084164588528678,0.5971945137157108,0.0015035365284856,0.0,,0.4901807904243469,0.4901807980049875,0.5563183645013752,0.5243740081787109,3208
flow_warp,clean,5,0.6005106884085635,0.7360774618296548,0.6682940751191091,0.9255774165953806,0.0301112061591103,0.0051325919589392,0.5376675220986599,0.0015904295542703,0.0,,0.3141716718673706,0.3141716566866267,0.4305747993418345,0.6622976064682007,3507
