method,stress,jf,ops,vanish,hallucination,split,mce
safeobjworld_r_no_area,blur,0.6639176898467666,0.9578557171371542,0.0222412318220701,0.0032506415739948,0.2818933561448531,0.0030988497140881
safeobjworld_r_no_stress,blur,0.5459894915772894,0.9128428927680798,0.0428304239401496,0.0062344139650872,0.2993142144638404,0.0027919522970882
safeobjworld_r_no_stress,blur,0.6769809794370142,0.9614485315084116,0.0192187054462503,0.0039920159680638,0.2743085258055318,0.0028118656459172
safeobjworld_r_det,blur,0.5385124830254576,0.911720698254364,0.0445137157107231,0.005860349127182,0.2312032418952618,0.001835361295024
safeobjworld_r_det,blur,0.6685835187121276,0.9548331907613344,0.0260051325919589,0.0025092671799258,0.2804676361562589,0.002870560431748
safeobjworld_r_image_only,blur,0.1143496355707096,0.3464152119700748,0.4229114713216957,0.0084788029925187,0.6544264339152119,0.0181005953278725
safeobjworld_r_image_only,blur,0.1624630563382884,0.5316224693470203,0.1778728257770174,0.0051325919589392,0.9478756772169946,0.0193592343113221
safeobjworld_r_mask_only,blur,0.5378350560410348,0.9096945137157108,0.0444201995012468,0.0063279301745635,0.2795822942643391,0.0029050688710436
safeobjworld_r_mask_only,blur,0.6571080059775688,0.9560878243512974,0.0226974622184203,0.0037639007698887,0.2226974622184203,0.0030563408690167
object_token_full,blur,0.28458038665843,0.8562032418952619,0.0545199501246882,0.0083229426433915,0.1255299251870324,0.0135369720869712
object_token_full,blur,0.3363961557341196,0.8853721129170231,0.0446535500427716,0.0038779583689763,0.0568577131451382,0.0149056886007663
object_token_det,blur,0.2744350408779902,0.82035536159601,0.0674251870324189,0.0068266832917705,0.1470698254364089,0.0018852582596498
object_token_det,blur,0.3578337099026621,0.8930139720558882,0.0438551468491588,0.0050755631593954,0.0900484744796122,0.0035873989324079
object_token_no_geom,blur,0.1099204300146321,0.3905236907730673,0.4500935162094763,0.0084788029925187,0.0316396508728179,0.0056928709695084
object_token_no_geom,blur,0.1170988428621567,0.4205873966353008,0.4208155118334759,0.0051325919589392,0.197775876817793,0.0082528846080927
copy_last,clean,0.5144217110906346,0.868142144638404,0.0557668329177057,0.0084788029925187,0.4809850374064838,0.0
copy_last,clean,0.6267042922433199,0.9219846022241232,0.0334188765326489,0.0051325919589392,0.4781864841745081,0.0
