method,stress,max_h,iou,boundary_f,jf,ops,vanish,hallucination,split,mce,uncertainty,uec,ece_iou50,brier_iou50,aurc_unc,selective_jf_80,n_samples
convlstm_base,blur,10,0.535600147955823,0.5441514524682041,0.5398758002120135,0.9072630922693268,0.0468827930174563,0.0057668329177057,0.2573254364089775,0.0024510118615167,0.0,,0.3891965847378805,0.38903374292904,0.501172801351177,0.5347313284873962,3208
convlstm_base,clean,10,0.5354404677515584,0.5445212465961069,0.5399808571738327,0.9070137157107232,0.0466022443890274,0.0057668329177057,0.2646508728179551,0.0024811851650356,0.0,,0.3898504788367231,0.3896599854094132,0.5012067190459126,0.5347964763641357,3208
convlstm_base,distractor,10,0.5360465457834751,0.5456985483742398,0.5408725470788575,0.906639650872818,0.0474127182044887,0.0057980049875311,0.2635598503740648,0.0025092131118268,0.0,,0.3881840455691862,0.3880497095293534,0.500815273744028,0.5356209874153137,3208
convlstm_base,frame_drop,10,0.5012891736507712,0.4925344810407396,0.4969118273457554,0.8874688279301746,0.0585099750623441,0.0057044887780548,0.2887468827930174,0.0034865888864961,0.0,,0.4346062110490781,0.433794192542459,0.5405195466207918,0.4887346625328064,3208
convlstm_base,lowlight,10,0.5327435657353975,0.5395684803242962,0.5361560230298468,0.8961346633416459,0.0560473815461346,0.0056421446384039,0.2519950124688279,0.0025604512042349,0.0,,0.3917347696728243,0.3921709698483236,0.5068880571251577,0.530349612236023,3208
convlstm_base,noise,10,0.5355920558948638,0.544991101110617,0.5402915785027405,0.9072007481296758,0.0464775561097256,0.0057980049875311,0.2656483790523691,0.0024797403174416,0.0,,0.3896807682521622,0.3894959973947068,0.5010832422563318,0.535068154335022,3208
convlstm_base,occlusion,10,0.4046998747387835,0.4915563403490011,0.4481281075438922,0.88285536159601,0.0567331670822942,0.0049563591022443,0.5857543640897755,0.0033323810496399,0.0,,0.6172763861734374,0.6122498583169352,0.6184297643506999,0.4430929124355316,3208
convlstm_base,blur,5,0.6436624806673585,0.7056175487537412,0.6746400147105499,0.9540347875677218,0.0275449101796407,0.0023381807812945,0.2920444824636441,0.0030848178742437,0.0,,0.2292114902433248,0.2324550920855737,0.3891563130199547,0.6676251292228699,3507
convlstm_base,clean,5,0.6434221531159178,0.7055311739964358,0.6744766635561769,0.9537496435700028,0.0271457085828343,0.0023381807812945,0.2934131736526946,0.0031176162495082,0.0,,0.2296812192748542,0.2328721922756703,0.3893943896865795,0.667464554309845,3507
convlstm_base,distractor,5,0.643889438010463,0.7063535860243418,0.6751215120174024,0.954491017964072,0.0270886797832905,0.0023381807812945,0.2935272312517821,0.0031045050985779,0.0,,0.2279098510402269,0.2312053145796681,0.3887463604732628,0.6682237386703491,3507
