====================================================================================================
SafeObjWorld runner
{
  "mode": "train",
  "dataset_root": "/home/tahiti/SafeObjWorld/data/DAVIS2017",
  "run_root": "/home/tahiti/SafeObjWorld/runs_musthave",
  "year": "2017",
  "method": "safeobj_no_geom",
  "stress": "clean",
  "prefix_len": 3,
  "max_h": 5,
  "image_size": 192,
  "batch_size": 8,
  "epochs": 8,
  "lr": 0.0002,
  "weight_decay": 0.0001,
  "temporal_weight": 0.05,
  "stress_train": 1,
  "eval_k": 5,
  "max_train_samples": 0,
  "max_val_samples": 0,
  "num_workers": 4,
  "seed": 42,
  "amp": true,
  "cpu": false,
  "skip_existing": true,
  "log_every": 25
}
====================================================================================================
[train] method=safeobj_no_geom device=cuda out=/home/tahiti/SafeObjWorld/runs_musthave/models/safeobj_no_geom/H5
[train:safeobj_no_geom:H5] epoch=2/8 step=475/1086 loss=1.0027
[train:safeobj_no_geom:H5] epoch=2/8 step=500/1086 loss=0.9894
[train:safeobj_no_geom:H5] epoch=2/8 step=525/1086 loss=1.0283
[train:safeobj_no_geom:H5] epoch=2/8 step=550/1086 loss=1.0155
[train:safeobj_no_geom:H5] epoch=2/8 step=575/1086 loss=1.0071
[train:safeobj_no_geom:H5] epoch=2/8 step=600/1086 loss=1.0228
[train:safeobj_no_geom:H5] epoch=2/8 step=625/1086 loss=0.9953
[train:safeobj_no_geom:H5] epoch=2/8 step=650/1086 loss=1.0064
[train:safeobj_no_geom:H5] epoch=2/8 step=675/1086 loss=1.0204
[train:safeobj_no_geom:H5] epoch=2/8 step=700/1086 loss=1.0053
[train:safeobj_no_geom:H5] epoch=2/8 step=725/1086 loss=1.0075
[train:safeobj_no_geom:H5] epoch=2/8 step=750/1086 loss=1.0251
[train:safeobj_no_geom:H5] epoch=2/8 step=775/1086 loss=0.9939
[train:safeobj_no_geom:H5] epoch=2/8 step=800/1086 loss=1.0436
[train:safeobj_no_geom:H5] epoch=2/8 step=825/1086 loss=1.0089
[train:safeobj_no_geom:H5] epoch=2/8 step=850/1086 loss=1.0334
[train:safeobj_no_geom:H5] epoch=2/8 step=875/1086 loss=0.9857
[train:safeobj_no_geom:H5] epoch=2/8 step=900/1086 loss=1.0009
[train:safeobj_no_geom:H5] epoch=2/8 step=925/1086 loss=1.0075
[train:safeobj_no_geom:H5] epoch=2/8 step=950/1086 loss=1.0333
[train:safeobj_no_geom:H5] epoch=2/8 step=975/1086 loss=0.9964
[train:safeobj_no_geom:H5] epoch=2/8 step=1000/1086 loss=0.9836
[train:safeobj_no_geom:H5] epoch=2/8 step=1025/1086 loss=0.9986
[train:safeobj_no_geom:H5] epoch=2/8 step=1050/1086 loss=1.0036
[train:safeobj_no_geom:H5] epoch=2/8 step=1075/1086 loss=0.9970
[epoch done:safeobj_no_geom:H5] epoch=2 train=1.0167 val=1.0381 best=1.0279
[train:safeobj_no_geom:H5] epoch=3/8 step=0/1086 loss=1.0683
[train:safeobj_no_geom:H5] epoch=3/8 step=25/1086 loss=1.0001
[train:safeobj_no_geom:H5] epoch=3/8 step=50/1086 loss=1.0189
[train:safeobj_no_geom:H5] epoch=3/8 step=75/1086 loss=0.9807
[train:safeobj_no_geom:H5] epoch=3/8 step=100/1086 loss=0.9954
[train:safeobj_no_geom:H5] epoch=3/8 step=125/1086 loss=0.9911
[train:safeobj_no_geom:H5] epoch=3/8 step=150/1086 loss=0.9843
[train:safeobj_no_geom:H5] epoch=3/8 step=175/1086 loss=0.9898
[train:safeobj_no_geom:H5] epoch=3/8 step=200/1086 loss=0.9867
[train:safeobj_no_geom:H5] epoch=3/8 step=225/1086 loss=0.9664
[train:safeobj_no_geom:H5] epoch=3/8 step=250/1086 loss=0.9904
[train:safeobj_no_geom:H5] epoch=3/8 step=275/1086 loss=0.9997
[train:safeobj_no_geom:H5] epoch=3/8 step=300/1086 loss=0.9889
[train:safeobj_no_geom:H5] epoch=3/8 step=325/1086 loss=0.9902
[train:safeobj_no_geom:H5] epoch=3/8 step=350/1086 loss=0.9954
[train:safeobj_no_geom:H5] epoch=3/8 step=375/1086 loss=0.9986
[train:safeobj_no_geom:H5] epoch=3/8 step=400/1086 loss=1.0036
[train:safeobj_no_geom:H5] epoch=3/8 step=425/1086 loss=0.9475
[train:safeobj_no_geom:H5] epoch=3/8 step=450/1086 loss=1.0023
[train:safeobj_no_geom:H5] epoch=3/8 step=475/1086 loss=0.9737
[train:safeobj_no_geom:H5] epoch=3/8 step=500/1086 loss=0.9755
[train:safeobj_no_geom:H5] epoch=3/8 step=525/1086 loss=0.9744
[train:safeobj_no_geom:H5] epoch=3/8 step=550/1086 loss=0.9926
[train:safeobj_no_geom:H5] epoch=3/8 step=575/1086 loss=1.0047
[train:safeobj_no_geom:H5] epoch=3/8 step=600/1086 loss=0.9921
[train:safeobj_no_geom:H5] epoch=3/8 step=625/1086 loss=0.9697
[train:safeobj_no_geom:H5] epoch=3/8 step=650/1086 loss=0.9738
[train:safeobj_no_geom:H5] epoch=3/8 step=675/1086 loss=0.9944
[train:safeobj_no_geom:H5] epoch=3/8 step=700/1086 loss=0.9563
[train:safeobj_no_geom:H5] epoch=3/8 step=725/1086 loss=0.9651
[train:safeobj_no_geom:H5] epoch=3/8 step=750/1086 loss=0.9887
[train:safeobj_no_geom:H5] epoch=3/8 step=775/1086 loss=0.9759
[train:safeobj_no_geom:H5] epoch=3/8 step=800/1086 loss=0.9968
[train:safeobj_no_geom:H5] epoch=3/8 step=825/1086 loss=0.9602
[train:safeobj_no_geom:H5] epoch=3/8 step=850/1086 loss=0.9618
[train:safeobj_no_geom:H5] epoch=3/8 step=875/1086 loss=0.9729
[train:safeobj_no_geom:H5] epoch=3/8 step=900/1086 loss=0.9699
[train:safeobj_no_geom:H5] epoch=3/8 step=925/1086 loss=0.9618
[train:safeobj_no_geom:H5] epoch=3/8 step=950/1086 loss=0.9472
