====================================================================================================
SafeObjWorld runner
{
  "mode": "train",
  "dataset_root": "/home/tahiti/SafeObjWorld/data/DAVIS2017",
  "run_root": "/home/tahiti/SafeObjWorld/runs_musthave",
  "year": "2017",
  "method": "convlstm",
  "stress": "clean",
  "prefix_len": 3,
  "max_h": 5,
  "image_size": 192,
  "batch_size": 8,
  "epochs": 8,
  "lr": 0.0002,
  "weight_decay": 0.0001,
  "temporal_weight": 0.0,
  "stress_train": 1,
  "eval_k": 5,
  "max_train_samples": 0,
  "max_val_samples": 0,
  "num_workers": 4,
  "seed": 42,
  "amp": true,
  "cpu": false,
  "skip_existing": true,
  "log_every": 25
}
====================================================================================================
[train] method=convlstm device=cuda out=/home/tahiti/SafeObjWorld/runs_musthave/models/convlstm/H5
/home/tahiti/SafeObjWorld/code/safeobjworld_run.py:1055: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(device.type == "cuda" and args.amp))
/home/tahiti/SafeObjWorld/code/safeobjworld_run.py:1072: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
[train:convlstm:H5] epoch=2/8 step=725/1086 loss=0.4760
[train:convlstm:H5] epoch=2/8 step=750/1086 loss=0.4514
[train:convlstm:H5] epoch=2/8 step=775/1086 loss=0.4782
[train:convlstm:H5] epoch=2/8 step=800/1086 loss=0.3930
[train:convlstm:H5] epoch=2/8 step=825/1086 loss=0.4140
[train:convlstm:H5] epoch=2/8 step=850/1086 loss=0.4512
[train:convlstm:H5] epoch=2/8 step=875/1086 loss=0.4768
[train:convlstm:H5] epoch=2/8 step=900/1086 loss=0.4259
[train:convlstm:H5] epoch=2/8 step=925/1086 loss=0.4300
[train:convlstm:H5] epoch=2/8 step=950/1086 loss=0.4945
[train:convlstm:H5] epoch=2/8 step=975/1086 loss=0.4336
[train:convlstm:H5] epoch=2/8 step=1000/1086 loss=0.4405
[train:convlstm:H5] epoch=2/8 step=1025/1086 loss=0.4736
[train:convlstm:H5] epoch=2/8 step=1050/1086 loss=0.4514
[train:convlstm:H5] epoch=2/8 step=1075/1086 loss=0.4858
[epoch done:convlstm:H5] epoch=2 train=0.4640 val=0.3726 best=0.3726
[train:convlstm:H5] epoch=3/8 step=0/1086 loss=0.5041
[train:convlstm:H5] epoch=3/8 step=25/1086 loss=0.4501
[train:convlstm:H5] epoch=3/8 step=50/1086 loss=0.4511
[train:convlstm:H5] epoch=3/8 step=75/1086 loss=0.4381
[train:convlstm:H5] epoch=3/8 step=100/1086 loss=0.4365
[train:convlstm:H5] epoch=3/8 step=125/1086 loss=0.5129
[train:convlstm:H5] epoch=3/8 step=150/1086 loss=0.4215
[train:convlstm:H5] epoch=3/8 step=175/1086 loss=0.4747
[train:convlstm:H5] epoch=3/8 step=200/1086 loss=0.4744
[train:convlstm:H5] epoch=3/8 step=225/1086 loss=0.4330
[train:convlstm:H5] epoch=3/8 step=250/1086 loss=0.4933
[train:convlstm:H5] epoch=3/8 step=275/1086 loss=0.4674
[train:convlstm:H5] epoch=3/8 step=300/1086 loss=0.4630
[train:convlstm:H5] epoch=3/8 step=325/1086 loss=0.4259
[train:convlstm:H5] epoch=3/8 step=350/1086 loss=0.4384
[train:convlstm:H5] epoch=3/8 step=375/1086 loss=0.4613
[train:convlstm:H5] epoch=3/8 step=400/1086 loss=0.4511
[train:convlstm:H5] epoch=3/8 step=425/1086 loss=0.4443
[train:convlstm:H5] epoch=3/8 step=450/1086 loss=0.4471
[train:convlstm:H5] epoch=3/8 step=475/1086 loss=0.4596
[train:convlstm:H5] epoch=3/8 step=500/1086 loss=0.4323
[train:convlstm:H5] epoch=3/8 step=525/1086 loss=0.4211
[train:convlstm:H5] epoch=3/8 step=550/1086 loss=0.4402
[train:convlstm:H5] epoch=3/8 step=575/1086 loss=0.4642
[train:convlstm:H5] epoch=3/8 step=600/1086 loss=0.4244
[train:convlstm:H5] epoch=3/8 step=625/1086 loss=0.4307
[train:convlstm:H5] epoch=3/8 step=650/1086 loss=0.4130
[train:convlstm:H5] epoch=3/8 step=675/1086 loss=0.4326
[train:convlstm:H5] epoch=3/8 step=700/1086 loss=0.4709
[train:convlstm:H5] epoch=3/8 step=725/1086 loss=0.4684
[train:convlstm:H5] epoch=3/8 step=750/1086 loss=0.4173
[train:convlstm:H5] epoch=3/8 step=775/1086 loss=0.4035
[train:convlstm:H5] epoch=3/8 step=800/1086 loss=0.4449
[train:convlstm:H5] epoch=3/8 step=825/1086 loss=0.4317
[train:convlstm:H5] epoch=3/8 step=850/1086 loss=0.4579
[train:convlstm:H5] epoch=3/8 step=875/1086 loss=0.4506
[train:convlstm:H5] epoch=3/8 step=900/1086 loss=0.4687
[train:convlstm:H5] epoch=3/8 step=925/1086 loss=0.4413
[train:convlstm:H5] epoch=3/8 step=950/1086 loss=0.4338
[train:convlstm:H5] epoch=3/8 step=975/1086 loss=0.4508
[train:convlstm:H5] epoch=3/8 step=1000/1086 loss=0.4098
[train:convlstm:H5] epoch=3/8 step=1025/1086 loss=0.4115
[train:convlstm:H5] epoch=3/8 step=1050/1086 loss=0.4139
[train:convlstm:H5] epoch=3/8 step=1075/1086 loss=0.4524
[epoch done:convlstm:H5] epoch=3 train=0.4445 val=0.3606 best=0.3606
[train:convlstm:H5] epoch=4/8 step=0/1086 loss=0.5090
[train:convlstm:H5] epoch=4/8 step=25/1086 loss=0.3965
[train:convlstm:H5] epoch=4/8 step=50/1086 loss=0.4504
[train:convlstm:H5] epoch=4/8 step=75/1086 loss=0.4097
[train:convlstm:H5] epoch=4/8 step=100/1086 loss=0.4283
[train:convlstm:H5] epoch=4/8 step=125/1086 loss=0.4511
[train:convlstm:H5] epoch=4/8 step=150/1086 loss=0.4588
[train:convlstm:H5] epoch=4/8 step=175/1086 loss=0.4465
[train:convlstm:H5] epoch=4/8 step=200/1086 loss=0.4203
[train:convlstm:H5] epoch=4/8 step=225/1086 loss=0.4374
