====================================================================================================
SafeObjWorld runner
{
  "mode": "train",
  "dataset_root": "/home/tahiti/SafeObjWorld/data/DAVIS2017",
  "run_root": "/home/tahiti/SafeObjWorld/runs_musthave",
  "year": "2017",
  "method": "safeobj_no_stress",
  "stress": "clean",
  "prefix_len": 3,
  "max_h": 5,
  "image_size": 192,
  "batch_size": 8,
  "epochs": 8,
  "lr": 0.0002,
  "weight_decay": 0.0001,
  "temporal_weight": 0.05,
  "stress_train": 0,
  "eval_k": 5,
  "max_train_samples": 0,
  "max_val_samples": 0,
  "num_workers": 4,
  "seed": 42,
  "amp": true,
  "cpu": false,
  "skip_existing": true,
  "log_every": 25
}
====================================================================================================
[train] method=safeobj_no_stress device=cuda out=/home/tahiti/SafeObjWorld/runs_musthave/models/safeobj_no_stress/H5
[train:safeobj_no_stress:H5] epoch=2/8 step=475/1086 loss=0.8309
[train:safeobj_no_stress:H5] epoch=2/8 step=500/1086 loss=0.8379
[train:safeobj_no_stress:H5] epoch=2/8 step=525/1086 loss=0.8551
[train:safeobj_no_stress:H5] epoch=2/8 step=550/1086 loss=0.8391
[train:safeobj_no_stress:H5] epoch=2/8 step=575/1086 loss=0.8195
[train:safeobj_no_stress:H5] epoch=2/8 step=600/1086 loss=0.8347
[train:safeobj_no_stress:H5] epoch=2/8 step=625/1086 loss=0.8084
[train:safeobj_no_stress:H5] epoch=2/8 step=650/1086 loss=0.7774
[train:safeobj_no_stress:H5] epoch=2/8 step=675/1086 loss=0.8022
[train:safeobj_no_stress:H5] epoch=2/8 step=700/1086 loss=0.7819
[train:safeobj_no_stress:H5] epoch=2/8 step=725/1086 loss=0.8195
[train:safeobj_no_stress:H5] epoch=2/8 step=750/1086 loss=0.7919
[train:safeobj_no_stress:H5] epoch=2/8 step=775/1086 loss=0.8118
[train:safeobj_no_stress:H5] epoch=2/8 step=800/1086 loss=0.7926
[train:safeobj_no_stress:H5] epoch=2/8 step=825/1086 loss=0.7992
[train:safeobj_no_stress:H5] epoch=2/8 step=850/1086 loss=0.7705
[train:safeobj_no_stress:H5] epoch=2/8 step=875/1086 loss=0.7962
[train:safeobj_no_stress:H5] epoch=2/8 step=900/1086 loss=0.7795
[train:safeobj_no_stress:H5] epoch=2/8 step=925/1086 loss=0.7838
[train:safeobj_no_stress:H5] epoch=2/8 step=950/1086 loss=0.7777
[train:safeobj_no_stress:H5] epoch=2/8 step=975/1086 loss=0.7326
[train:safeobj_no_stress:H5] epoch=2/8 step=1000/1086 loss=0.7735
[train:safeobj_no_stress:H5] epoch=2/8 step=1025/1086 loss=0.7749
[train:safeobj_no_stress:H5] epoch=2/8 step=1050/1086 loss=0.7772
[train:safeobj_no_stress:H5] epoch=2/8 step=1075/1086 loss=0.7640
[epoch done:safeobj_no_stress:H5] epoch=2 train=0.8354 val=0.7330 best=0.7330
[train:safeobj_no_stress:H5] epoch=3/8 step=0/1086 loss=0.6849
[train:safeobj_no_stress:H5] epoch=3/8 step=25/1086 loss=0.7690
[train:safeobj_no_stress:H5] epoch=3/8 step=50/1086 loss=0.7548
[train:safeobj_no_stress:H5] epoch=3/8 step=75/1086 loss=0.7802
[train:safeobj_no_stress:H5] epoch=3/8 step=100/1086 loss=0.7638
