epoch,train_loss,val_loss,seconds,method,max_h
1,1.1648266875850835,1.1251722807064652,137.02392029762268,safeobjworld_r_image_only,10
2,1.107393781898742,1.1206215443089604,162.18078470230103,safeobjworld_r_image_only,10
3,1.0833791411172595,1.0528797945007682,160.0666482448578,safeobjworld_r_image_only,10
4,1.0587846654600066,1.0666634226217866,164.98600125312805,safeobjworld_r_image_only,10
5,1.0389812150719397,1.0496372375637293,160.29040908813477,safeobjworld_r_image_only,10
6,1.0166654671771695,1.0474889017641544,164.67835402488708,safeobjworld_r_image_only,10
7,1.000908873848996,1.0285662282258272,162.9857051372528,safeobjworld_r_image_only,10
8,0.9896251127227829,1.0572745641693473,161.27722835540771,safeobjworld_r_image_only,10
9,0.9790421736798994,1.0867623025551438,156.14359736442566,safeobjworld_r_image_only,10
10,0.9670848272971118,1.0685305492952466,157.41843557357788,safeobjworld_r_image_only,10
