epoch,train_loss,val_loss,seconds,method,max_h
1,0.6696641923839287,0.5006282129324973,109.6112630367279,convlstm_base,10
2,0.5857978481892218,0.4845303874462843,114.48078680038452,convlstm_base,10
3,0.5679628831498763,0.48765392741188407,111.67470908164978,convlstm_base,10
4,0.5543149097015708,0.4789350018836558,112.3974666595459,convlstm_base,10
5,0.5451986615881249,0.4758859951980412,110.1230103969574,convlstm_base,10
6,0.5374908267500869,0.48281576205044985,114.43011522293091,convlstm_base,10
7,0.5305237011948706,0.4740741369314492,116.19033336639404,convlstm_base,10
8,0.5227206182830474,0.48241728357970715,113.43763017654419,convlstm_base,10
9,0.5163955770484947,0.4800891480408609,115.07839107513428,convlstm_base,10
10,0.5112982086265313,0.47355580562725663,113.0979437828064,convlstm_base,10
