epoch,train_loss,val_loss,seconds,method,max_h
1,0.7194519864835387,0.5174986934289336,136.1384904384613,safeobjworld_r_no_split,10
2,0.6178233119271926,0.49064202466979623,154.11711812019348,safeobjworld_r_no_split,10
3,0.5954919729014099,0.49518063105642796,152.55319237709045,safeobjworld_r_no_split,10
4,0.5819299245403629,0.47795343259349465,153.1141002178192,safeobjworld_r_no_split,10
5,0.5732930560827493,0.4813266582787037,157.4902801513672,safeobjworld_r_no_split,10
6,0.5653274368609887,0.48252562200650573,155.93464279174805,safeobjworld_r_no_split,10
7,0.5585414240153457,0.4780837669968605,150.17717361450195,safeobjworld_r_no_split,10
8,0.552397022099937,0.4815218267031014,154.76519894599915,safeobjworld_r_no_split,10
9,0.5475256519683693,0.4786784700118005,152.08093166351318,safeobjworld_r_no_split,10
10,0.5432543565601794,0.46797257708385587,150.49144434928894,safeobjworld_r_no_split,10
