epoch,train_loss,val_loss,seconds,method,max_h
1,0.6937095311916956,0.5042376131750643,135.7307186126709,safeobjworld_r_det,10
2,0.6045509373559315,0.4941767053678632,150.92114233970642,safeobjworld_r_det,10
3,0.5861952935650959,0.5245479084551334,147.83708906173706,safeobjworld_r_det,10
4,0.5716406921684326,0.4758732900954783,157.33223128318787,safeobjworld_r_det,10
5,0.5613120806775801,0.48419087985530496,163.1155960559845,safeobjworld_r_det,10
6,0.553164138364887,0.4825645834207535,165.6299171447754,safeobjworld_r_det,10
7,0.546198513726532,0.4804659802466631,160.3639371395111,safeobjworld_r_det,10
8,0.5381823464975519,0.47840368701145053,159.60443234443665,safeobjworld_r_det,10
9,0.5326544570839654,0.4785225414671004,163.17261052131653,safeobjworld_r_det,10
10,0.527407336567834,0.47727378690615296,166.10356855392456,safeobjworld_r_det,10
